timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,Hostname,IdleTime,Connect
1482527017042,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017044,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017045,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017046,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017047,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017049,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017050,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017052,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017051,4,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,4,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017055,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017057,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017056,3,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017060,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017061,4,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,4,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017063,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017066,2,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017066,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017069,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017069,5,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,5,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017075,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017072,5,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,5,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017077,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017077,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017079,2,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017079,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017081,2,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017081,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017083,2,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017086,2,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017089,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017090,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017092,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017092,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017093,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017095,1,Home Page,200,OK,grupo1 1-3,text,true,,236,183,3,3,http://192.168.56.104/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527017094,3,Home Page,200,OK,grupo1 1-1,text,true,,236,183,3,3,http://192.168.56.104/,,3,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
