timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,Hostname,IdleTime,Connect
1482527055160,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055161,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055162,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055163,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055165,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055166,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055167,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055168,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055170,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055172,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055173,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055174,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055175,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055176,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055177,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055178,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055179,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055180,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055182,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055183,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055184,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055185,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055187,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055188,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055188,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055189,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055190,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055191,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055192,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055193,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055194,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055195,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055196,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055197,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055198,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055199,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055199,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055200,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055201,2,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,2,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055204,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055205,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055206,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055207,0,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,0,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
1482527055207,1,Home Page,200,OK,grupo1 1-1,text,true,,236,183,1,1,http://192.168.56.102/,,1,ISO-8859-1,alvarogl-SATELLITE-S50-B,0,0
